"PLOT","MODEL","FIA"
7,29.564365831856,43.4873005905876
11,122.129469351989,108.877977322936
12,101.988225353079,0
29,190.144604116319,155.826601610946
31,174.33595562682,119.51269260475
32,0.305392649703331,0
37,118.56833619351,41.7506555184334
39,185.049116402435,186.471941126406
41,168.275410382001,246.216611823878
48,3.72003756325865,0
49,61.5774885911378,78.00593623132
58,6.35583772380864,0
61,1.22685415479422,0
63,142.921692257909,102.725476008686
65,173.428424896618,170.716361029759
67,131.541609777813,195.933187092088
75,68.7636278674989,141.747577449196
87,16.9792059316633,0
88,111.609536687152,96.9728948814839
94,72.0578255958734,0
108,93.8745628506172,84.4232664600225
112,160.473861992234,110.998944952788
124,14.7626862028554,12.5378316130058
126,45.6483568726192,32.6638957391779
129,121.077907557377,58.5198312978298
130,112.802985237691,105.294299096824
147,114.07988823555,59.1351505844528
156,164.107248252811,222.314701191087
158,141.934571728082,98.46980088607
159,122.194721487659,123.756315317931
164,36.2353793640379,0
173,152.357814507194,216.581866478979
180,117.365844432428,181.802003844994
192,6.30508415793178,0
203,133.977604937887,134.911549686905
205,169.706311983481,143.288274242799
216,88.7972451470527,39.2651107746478
221,0,0
226,84.5730372739269,138.947843547466
232,118.105654648852,300.603057313881
233,130.153850676035,237.979532390435
234,99.627481687005,72.3402071269535
240,70.2235879921775,56.5215847516601
241,92.3165876449256,84.8502104219714
251,106.000532635764,80.2253459412008
258,193.357104644321,144.887373394716
270,100.20099282834,76.7086429962132
274,173.614304294049,154.467685342659
294,0.430073234122553,0
298,3.9433013240475,0
301,142.901214551864,114.609510988083
305,147.43834159527,79.7755602378517
315,40.5637150505118,0
316,4.95073210022061,0
317,58.2211888383032,10.372967130489
324,71.2026758044899,127.241053874142
329,170.454258228638,243.501044802498
332,93.5644123342678,73.4687555676249
341,69.5281389444158,84.6728800976952
345,120.869798904867,221.60356504811
352,111.349013149203,79.5033297010305
367,0.798016023840931,0
369,49.3355616089246,14.3303006256798
377,134.889199895242,30.1883363576244
388,110.664276369854,78.3178729735114
389,164.414131444607,213.353149682653
399,162.792307657083,175.300009085361
415,121.780379536017,102.635972239519
419,49.5395977176828,59.7270458723586
422,60.4844983363692,13.7368483458228
432,0,0
447,136.384771545102,96.7637948860168
449,58.9335071362667,38.6699257463907
450,179.952108799022,145.345885983146
460,147.304717865637,91.244522626689
465,242.601001111825,232.08249798505
468,95.0782055797265,49.6523517962189
474,0,0
478,110.860265875439,116.647831104058
493,0.00249479131335606,0
495,94.5497153213263,111.804044725291
500,0,0
511,129.920001783354,108.52133518501
