"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
1840,2016,43.4951427507849,4,2017,"FEMA_FranklinStLawrence2016"
3315,2018,108.542819636846,4,2017,"FEMA_FranklinStLawrence2016"
2343,2018,125.33864398863,4,2017,"FEMA_FranklinStLawrence2016"
2197,2018,62.9365143763443,4,2017,"FEMA_FranklinStLawrence2016"
4057,2015,123.909555480951,4,2017,"FEMA_FranklinStLawrence2016"
3476,2015,10.0998265602869,2,2017,"FEMA_FranklinStLawrence2016"
2361,2016,84.6491437427502,4,2017,"FEMA_FranklinStLawrence2016"
75,2018,141.747577449196,4,2017,"FEMA_FranklinStLawrence2016"
5574,2015,131.518969108239,4,2017,"FEMA_FranklinStLawrence2016"
3593,2015,20.8250229833276,4,2017,"FEMA_FranklinStLawrence2016"
108,2018,84.4232664600225,4,2017,"FEMA_FranklinStLawrence2016"
3047,2018,0,2,2017,"FEMA_FranklinStLawrence2016"
1905,2018,0,2,2017,"FEMA_FranklinStLawrence2016"
3251,2018,74.923402709481,4,2017,"FEMA_FranklinStLawrence2016"
2263,2018,84.8011096175538,4,2017,"FEMA_FranklinStLawrence2016"
4972,2018,45.1431047924086,4,2017,"FEMA_FranklinStLawrence2016"
1604,2018,157.29115378484,4,2017,"FEMA_FranklinStLawrence2016"
159,2018,123.756315317931,4,2017,"FEMA_FranklinStLawrence2016"
1952,2018,49.0976977659144,4,2017,"FEMA_FranklinStLawrence2016"
825,2018,153.624902992267,4,2017,"FEMA_FranklinStLawrence2016"
5131,2018,25.9652970476854,4,2017,"FEMA_FranklinStLawrence2016"
3389,2018,128.037772338566,6,2017,"FEMA_FranklinStLawrence2016"
2503,2016,21.5175952898522,3,2017,"FEMA_FranklinStLawrence2016"
2457,2016,201.878970532671,4,2017,"FEMA_FranklinStLawrence2016"
1175,2018,34.0693018006296,4,2017,"FEMA_FranklinStLawrence2016"
3559,2016,7.76780167483682,4,2017,"FEMA_FranklinStLawrence2016"
5342,2016,48.7593926323157,4,2017,"FEMA_FranklinStLawrence2016"
1399,2016,35.0933482872161,2,2017,"FEMA_FranklinStLawrence2016"
1351,2016,251.117643695534,4,2017,"FEMA_FranklinStLawrence2016"
1371,2016,154.195897239106,4,2017,"FEMA_FranklinStLawrence2016"
3909,2016,117.569771910073,4,2017,"FEMA_FranklinStLawrence2016"
5905,2018,85.1436742952981,4,2017,"FEMA_FranklinStLawrence2016"
3382,2018,0,2,2017,"FEMA_FranklinStLawrence2016"
468,2015,49.6523517962189,4,2017,"FEMA_FranklinStLawrence2016"
4108,2016,67.9787620621794,4,2017,"FEMA_FranklinStLawrence2016"
5632,2015,60.7359971221466,4,2017,"FEMA_FranklinStLawrence2016"
2125,2015,0,6,2017,"FEMA_FranklinStLawrence2016"
1719,2015,93.0235296775095,4,2017,"FEMA_FranklinStLawrence2016"
591,2015,0,2,2017,"FEMA_FranklinStLawrence2016"
2862,2015,94.4189491490782,4,2017,"FEMA_FranklinStLawrence2016"
2913,2015,0,6,2017,"FEMA_FranklinStLawrence2016"
2181,2015,6.20278462985551,6,2017,"FEMA_FranklinStLawrence2016"
1703,2018,15.8936958560405,4,2017,"FEMA_FranklinStLawrence2016"
2102,2015,0,2,2017,"FEMA_FranklinStLawrence2016"
1717,2015,76.5853252269414,4,2017,"FEMA_FranklinStLawrence2016"
4314,2018,124.621921298498,4,2017,"FEMA_FranklinStLawrence2016"
3723,2018,36.311341880093,4,2017,"FEMA_FranklinStLawrence2016"
776,2018,65.1220385450969,4,2017,"FEMA_FranklinStLawrence2016"
3573,2015,53.8028302222261,2,2017,"FEMA_FranklinStLawrence2016"
1744,2015,162.257539811024,4,2017,"FEMA_FranklinStLawrence2016"
795,2018,47.1841446409457,4,2017,"FEMA_FranklinStLawrence2016"
6359,2018,103.253253636168,4,2017,"FEMA_FranklinStLawrence2016"
5759,2018,25.4455266117664,3,2017,"FEMA_FranklinStLawrence2016"
6268,2016,0,2,2017,"FEMA_FranklinStLawrence2016"
4079,2018,27.4686363818008,4,2017,"FEMA_FranklinStLawrence2016"
2984,2016,51.8691462385404,6,2017,"FEMA_FranklinStLawrence2016"
2881,2016,84.0396120412462,4,2017,"FEMA_FranklinStLawrence2016"
49,2019,78.00593623132,4,2017,"FEMA_FranklinStLawrence2016"
1865,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
240,2019,56.5215847516601,4,2017,"FEMA_FranklinStLawrence2016"
1545,2019,0,3,2017,"FEMA_FranklinStLawrence2016"
4331,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
1730,2019,188.263108660419,4,2017,"FEMA_FranklinStLawrence2016"
5584,2019,49.8730234610953,4,2017,"FEMA_FranklinStLawrence2016"
4036,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
130,2019,105.294299096824,4,2017,"FEMA_FranklinStLawrence2016"
5000,2019,86.5248984994094,6,2017,"FEMA_FranklinStLawrence2016"
6272,2019,84.3094606451364,4,2017,"FEMA_FranklinStLawrence2016"
7,2019,43.4873005905876,4,2017,"FEMA_FranklinStLawrence2016"
6338,2019,136.325794275477,4,2017,"FEMA_FranklinStLawrence2016"
802,2019,8.61959098336428,4,2017,"FEMA_FranklinStLawrence2016"
1566,2019,122.981088387945,4,2017,"FEMA_FranklinStLawrence2016"
4072,2019,298.796367630818,4,2017,"FEMA_FranklinStLawrence2016"
5379,2019,20.0223145669889,6,2017,"FEMA_FranklinStLawrence2016"
2111,2019,150.901450755217,4,2017,"FEMA_FranklinStLawrence2016"
1057,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
621,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
61,2019,0,6,2017,"FEMA_FranklinStLawrence2016"
5007,2019,30.8358408415649,4,2017,"FEMA_FranklinStLawrence2016"
4691,2019,168.618568792556,4,2017,"FEMA_FranklinStLawrence2016"
867,2019,111.207467574561,4,2017,"FEMA_FranklinStLawrence2016"
3807,2019,119.835143199425,4,2017,"FEMA_FranklinStLawrence2016"
2389,2019,50.8673593237262,6,2017,"FEMA_FranklinStLawrence2016"
1089,2019,92.2670172882508,4,2017,"FEMA_FranklinStLawrence2016"
876,2019,97.3841612481372,6,2017,"FEMA_FranklinStLawrence2016"
5795,2019,51.5643152953057,2,2017,"FEMA_FranklinStLawrence2016"
3789,2019,67.9264070720712,4,2017,"FEMA_FranklinStLawrence2016"
1938,2019,99.5506179534901,4,2017,"FEMA_FranklinStLawrence2016"
597,2019,67.335641931318,4,2017,"FEMA_FranklinStLawrence2016"
6344,2019,64.5275301548842,4,2017,"FEMA_FranklinStLawrence2016"
67,2019,195.933187092088,4,2017,"FEMA_FranklinStLawrence2016"
2757,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
2919,2019,0,2,2017,"FEMA_FranklinStLawrence2016"
495,2019,111.804044725291,6,2017,"FEMA_FranklinStLawrence2016"
6679,2019,42.4610067877207,4,2017,"FEMA_FranklinStLawrence2016"
8304,2019,60.8898142878676,4,2017,"FEMA_FranklinStLawrence2016"
662,2019,131.293927882803,4,2017,"FEMA_FranklinStLawrence2016"
804,2019,24.1963457196864,4,2017,"FEMA_FranklinStLawrence2016"
4066,2019,95.7491080711332,4,2017,"FEMA_FranklinStLawrence2016"
1706,2019,84.9594849366554,4,2017,"FEMA_FranklinStLawrence2016"
2387,2019,16.3930050062622,3,2017,"FEMA_FranklinStLawrence2016"
1835,2019,49.6177262108972,6,2017,"FEMA_FranklinStLawrence2016"
