"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Arizona","SF",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06
"Arizona","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","Total Forest Land Converted to Land",34.34,34.34,34.34,34.34,34.34,34.34,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.62,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.86,34.86,34.86,34.86,34.86,34.86,34.86
"Arizona","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","FG",33.7,33.7,33.7,33.7,33.7,33.7,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.09,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.46,34.46,34.46,34.46,34.46,34.46,34.46
"Arizona","FO",0.49,0.49,0.49,0.49,0.49,0.49,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
"Arizona","FS",0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"Arizona","FW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","Total Woodlands Remaining Woodlands",2913.86,2913.29,2912.73,2912.16,2911.59,2911.03,2909.92,2908.79,2907.66,2906.53,2905.4,2904.27,2903.14,2902.01,2900.88,2899.75,2898.01,2896.18,2894.35,2892.52,2890.69,2888.86,2887.02,2885.19,2883.36,2881.53,2880.03,2869.68,2859.33,2848.98,2838.63,2828.28,2817.93
"Arkansas","Total Forest Land",7851.46,7845.98,7840.5,7835.02,7829.55,7823.54,7817.53,7811.52,7805.52,7799.51,7792.88,7786.25,7779.62,7772.99,7766.36,7758.96,7751.57,7744.18,7736.78,7729.39,7721.03,7712.67,7704.31,7695.95,7687.59,7677.55,7667.52,7657.48,7647.44,7637.41,7627.88,7618.35,7608.82
"Arkansas","FF",7831.24,7825.76,7820.28,7814.8,7809.32,7803.4,7797.39,7791.38,7785.37,7779.37,7772.83,7766.2,7759.57,7752.94,7746.31,7739.02,7731.62,7724.23,7716.84,7709.44,7701.2,7692.84,7684.48,7676.12,7667.76,7657.86,7647.82,7637.78,7627.75,7617.71,7607.87,7598.35,7588.82
"Arkansas","Total Land Converted to Forest Land",20.22,20.22,20.22,20.22,20.22,20.14,20.14,20.14,20.14,20.14,20.05,20.05,20.05,20.05,20.05,19.95,19.95,19.95,19.95,19.95,19.83,19.83,19.83,19.83,19.83,19.7,19.7,19.7,19.7,19.7,20.01,20.01,20.01
"Arkansas","CF",11.81,11.81,11.81,11.81,11.81,11.76,11.76,11.76,11.76,11.76,11.7,11.7,11.7,11.7,11.7,11.64,11.64,11.64,11.64,11.64,11.57,11.57,11.57,11.57,11.57,11.5,11.5,11.5,11.5,11.5,11.43,11.43,11.43
"Arkansas","GF",0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.37,0.37,0.37
