"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Delaware","FG",0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04
"Delaware","FO",0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21
"Delaware","FS",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.12,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"Delaware","FW",0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.29,0.29,0.29,0.29,0.29,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24
"Florida","Total Forest Land",7346.42,7328.67,7310.92,7293.17,7275.43,7257.68,7235.2,7212.73,7190.25,7167.78,7145.3,7125.56,7105.82,7086.08,7066.33,7046.59,7026.85,7006.1,6985.35,6964.59,6943.84,6923.09,6902.34,6881.16,6859.99,6838.81,6817.64,6796.47,6775.29,6749.9,6724.52,6699.13,6673.74
"Florida","FF",7325.1,7307.35,7289.61,7271.86,7254.11,7236.36,7210.09,7187.62,7165.14,7142.67,7120.19,7105.05,7085.31,7065.56,7045.82,7026.08,7006.34,6986.02,6965.26,6944.51,6923.76,6903.01,6882.25,6861.53,6840.35,6819.18,6798,6776.83,6755.66,6727.47,6702.08,6676.69,6651.31
"Florida","Total Land Converted to Forest Land",21.32,21.32,21.32,21.32,21.32,21.32,25.11,25.11,25.11,25.11,25.11,20.51,20.51,20.51,20.51,20.51,20.51,20.08,20.08,20.08,20.08,20.08,20.08,19.64,19.64,19.64,19.64,19.64,19.64,22.43,22.43,22.43,22.43
"Florida","CF",5.99,5.99,5.99,5.99,5.99,5.99,7.04,7.04,7.04,7.04,7.04,5.75,5.75,5.75,5.75,5.75,5.75,5.62,5.62,5.62,5.62,5.62,5.62,5.48,5.48,5.48,5.48,5.48,5.48,6.74,6.74,6.74,6.74
"Florida","GF",3.96,3.96,3.96,3.96,3.96,3.96,4.67,4.67,4.67,4.67,4.67,3.82,3.82,3.82,3.82,3.82,3.82,3.75,3.75,3.75,3.75,3.75,3.75,3.68,3.68,3.68,3.68,3.68,3.68,4.03,4.03,4.03,4.03
"Florida","OF",0.49,0.49,0.49,0.49,0.49,0.49,0.58,0.58,0.58,0.58,0.58,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,1.08,1.08,1.08,1.08
"Florida","SF",7.19,7.19,7.19,7.19,7.19,7.19,8.47,8.47,8.47,8.47,8.47,6.91,6.91,6.91,6.91,6.91,6.91,6.76,6.76,6.76,6.76,6.76,6.76,6.61,6.61,6.61,6.61,6.61,6.61,8.16,8.16,8.16,8.16
"Florida","WF",3.69,3.69,3.69,3.69,3.69,3.69,4.35,4.35,4.35,4.35,4.35,3.56,3.56,3.56,3.56,3.56,3.56,3.49,3.49,3.49,3.49,3.49,3.49,3.42,3.42,3.42,3.42,3.42,3.42,2.43,2.43,2.43,2.43
"Florida","Total Forest Land Converted to Land",39.06,39.06,39.06,39.06,39.06,39.06,47.59,47.59,47.59,47.59,47.59,40.26,40.26,40.26,40.26,40.26,40.26,40.83,40.83,40.83,40.83,40.83,40.83,40.81,40.81,40.81,40.81,40.81,40.81,47.82,47.82,47.82,47.82
"Florida","FC",15.01,15.01,15.01,15.01,15.01,15.01,18.32,18.32,18.32,18.32,18.32,15.53,15.53,15.53,15.53,15.53,15.53,15.82,15.82,15.82,15.82,15.82,15.82,16.21,16.21,16.21,16.21,16.21,16.21,18.99,18.99,18.99,18.99
"Florida","FG",4.68,4.68,4.68,4.68,4.68,4.68,5.37,5.37,5.37,5.37,5.37,4.22,4.22,4.22,4.22,4.22,4.22,3.9,3.9,3.9,3.9,3.9,3.9,3.52,3.52,3.52,3.52,3.52,3.52,4.12,4.12,4.12,4.12
"Florida","FO",0.95,0.95,0.95,0.95,0.95,0.95,1.13,1.13,1.13,1.13,1.13,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.94,0.94,0.94,0.94,0.94,2.49,2.49,2.49,2.49,2.49,2.49,2.92,2.92,2.92,2.92
"Florida","FS",13.99,13.99,13.99,13.99,13.99,13.99,17.23,17.23,17.23,17.23,17.23,14.77,14.77,14.77,14.77,14.77,14.77,15.21,15.21,15.21,15.21,15.21,15.21,15.67,15.67,15.67,15.67,15.67,15.67,18.36,18.36,18.36,18.36
"Florida","FW",4.44,4.44,4.44,4.44,4.44,4.44,5.53,5.53,5.53,5.53,5.53,4.81,4.81,4.81,4.81,4.81,4.81,4.97,4.97,4.97,4.97,4.97,4.97,2.92,2.92,2.92,2.92,2.92,2.92,3.44,3.44,3.44,3.44
"Georgia","Total Forest Land",10286.16,10274.37,10262.59,10250.8,10239.01,10227.23,10215.44,10202.72,10190,10177.27,10164.55,10151.82,10139.1,10122.63,10106.17,10089.7,10073.23,10056.77,10042.03,10027.29,10012.55,9997.81,9983.07,9968.33,9952.73,9937.12,9921.51,9905.91,9890.3,9874.69,9857.92,9841.14,9824.36
"Georgia","FF",10254.31,10248.06,10236.27,10224.48,10212.7,10200.91,10189.13,10176.64,10163.92,10151.19,10138.47,10125.74,10113.02,10091.64,10075.18,10058.71,10042.25,10025.78,10016.48,10001.74,9987,9972.26,9957.52,9942.78,9927.46,9911.85,9896.25,9880.64,9865.03,9849.43,9826.18,9809.4,9792.62
"Georgia","Total Land Converted to Forest Land",31.85,26.32,26.32,26.32,26.32,26.32,26.32,26.08,26.08,26.08,26.08,26.08,26.08,30.99,30.99,30.99,30.99,30.99,25.55,25.55,25.55,25.55,25.55,25.55,25.27,25.27,25.27,25.27,25.27,25.27,31.74,31.74,31.74
"Georgia","CF",16.47,13.61,13.61,13.61,13.61,13.61,13.61,13.49,13.49,13.49,13.49,13.49,13.49,16.02,16.02,16.02,16.02,16.02,13.21,13.21,13.21,13.21,13.21,13.21,13.06,13.06,13.06,13.06,13.06,13.06,15.64,15.64,15.64
"Georgia","GF",1.98,1.64,1.64,1.64,1.64,1.64,1.64,1.62,1.62,1.62,1.62,1.62,1.62,1.93,1.93,1.93,1.93,1.93,1.59,1.59,1.59,1.59,1.59,1.59,1.57,1.57,1.57,1.57,1.57,1.57,1.89,1.89,1.89
"Georgia","OF",1.49,1.23,1.23,1.23,1.23,1.23,1.23,1.22,1.22,1.22,1.22,1.22,1.22,1.46,1.46,1.46,1.46,1.46,1.2,1.2,1.2,1.2,1.2,1.2,1.19,1.19,1.19,1.19,1.19,1.19,2.61,2.61,2.61
"Georgia","SF",11.28,9.32,9.32,9.32,9.32,9.32,9.32,9.24,9.24,9.24,9.24,9.24,9.24,10.98,10.98,10.98,10.98,10.98,9.05,9.05,9.05,9.05,9.05,9.05,8.95,8.95,8.95,8.95,8.95,8.95,11.26,11.26,11.26
"Georgia","WF",0.63,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.61,0.61,0.61,0.61,0.61,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.34,0.34,0.34
"Georgia","Total Forest Land Converted to Land",44.94,38.1,38.1,38.1,38.1,38.1,38.1,38.8,38.8,38.8,38.8,38.8,38.8,47.46,47.46,47.46,47.46,47.46,40.29,40.29,40.29,40.29,40.29,40.29,40.87,40.87,40.87,40.87,40.87,40.87,48.52,48.52,48.52
"Georgia","FC",19.92,16.59,16.59,16.59,16.59,16.59,16.59,16.57,16.57,16.57,16.57,16.57,16.57,19.85,19.85,19.85,19.85,19.85,16.51,16.51,16.51,16.51,16.51,16.51,16.47,16.47,16.47,16.47,16.47,16.47,19.54,19.54,19.54
"Georgia","FG",2.83,2.35,2.35,2.35,2.35,2.35,2.35,2.34,2.34,2.34,2.34,2.34,2.34,2.8,2.8,2.8,2.8,2.8,2.33,2.33,2.33,2.33,2.33,2.33,2.34,2.34,2.34,2.34,2.34,2.34,2.78,2.78,2.78
"Georgia","FO",1.61,1.31,1.31,1.31,1.31,1.31,1.31,1.28,1.28,1.28,1.28,1.28,1.28,1.48,1.48,1.48,1.48,1.48,1.2,1.2,1.2,1.2,1.2,1.2,1.19,1.19,1.19,1.19,1.19,1.19,1.41,1.41,1.41
"Georgia","FS",19.61,17,17,17,17,17,17,17.73,17.73,17.73,17.73,17.73,17.73,22.24,22.24,22.24,22.24,22.24,19.42,19.42,19.42,19.42,19.42,19.42,20.4,20.4,20.4,20.4,20.4,20.4,24.22,24.22,24.22
"Georgia","FW",0.98,0.85,0.85,0.85,0.85,0.85,0.85,0.88,0.88,0.88,0.88,0.88,0.88,1.07,1.07,1.07,1.07,1.07,0.83,0.83,0.83,0.83,0.83,0.83,0.47,0.47,0.47,0.47,0.47,0.47,0.56,0.56,0.56
"Idaho","Total Forest Land",8066.21,8088.09,8109.98,8131.86,8153.74,8175.62,8197.51,8219.39,8242.18,8264.96,8287.75,8310.54,8333.32,8356.11,8378.9,8401.68,8424.47,8447.26,8473.68,8500.1,8526.52,8552.93,8579.35,8605.77,8632.19,8658.61,8685.03,8702.06,8719.09,8736.12,8753.15,8770.18,8787.21
"Idaho","FF",8036.92,8058.8,8080.69,8102.57,8124.45,8146.34,8168.22,8190.1,8212.09,8234.88,8257.67,8280.45,8303.24,8326.03,8348.81,8371.6,8394.39,8417.18,8439.33,8465.75,8492.17,8518.59,8545.01,8571.42,8597.84,8624.26,8650.68,8677.71,8694.74,8711.77,8728.81,8745.84,8762.87
"Idaho","Total Land Converted to Forest Land",29.29,29.29,29.29,29.29,29.29,29.29,29.29,29.29,30.08,30.08,30.08,30.08,30.08,30.08,30.08,30.08,30.08,30.08,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,24.35,24.35,24.35,24.35,24.35,24.35
"Idaho","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","GF",21.48,21.48,21.48,21.48,21.48,21.48,21.48,21.48,22.08,22.08,22.08,22.08,22.08,22.08,22.08,22.08,22.08,22.08,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,25.22,22.24,22.24,22.24,22.24,22.24,22.24
"Idaho","OF",7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,1.53,1.53,1.53,1.53,1.53,1.53
"Idaho","SF",0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.58,0.58,0.58,0.58,0.58,0.58
"Idaho","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","Total Forest Land Converted to Land",7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.32,7.32,7.32,7.32,7.32,7.32
"Idaho","FC",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"Idaho","FG",4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,4.85,4.85,4.85,4.85,4.85,4.85
"Idaho","FO",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.91,0.91,0.91,0.91,0.91,0.91
"Idaho","FS",1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.52,1.52,1.52,1.52,1.52,1.52
"Idaho","FW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","Total Woodlands Remaining Woodlands",136.34,136,135.65,135.31,134.96,134.62,134.27,133.93,133.54,133.05,132.55,132.06,131.56,131.07,130.57,130.08,129.58,129.09,128.18,127.42,126.65,125.89,125.12,124.36,123.59,122.83,122.06,121.86,120.96,120.07,119.17,118.27,117.37
"Illinois","Total Forest Land",1817.12,1820.9,1824.68,1828.46,1832.57,1836.67,1840.78,1844.89,1848.99,1853.1,1858.5,1863.9,1869.3,1874.7,1880.11,1885.09,1890.07,1895.06,1900.04,1905.02,1910.01,1915.21,1920.41,1925.62,1930.82,1936.03,1941.23,1946.31,1951.38,1956.46,1961.53,1966.61,1971.68
"Illinois","FF",1801.97,1805.75,1809.53,1813.31,1817.21,1821.32,1825.42,1829.53,1833.63,1837.74,1839.79,1845.2,1850.6,1856,1861.4,1869.25,1874.23,1879.21,1884.2,1889.18,1894.16,1899.1,1904.3,1909.51,1914.71,1919.92,1925.12,1930.14,1935.21,1940.29,1945.36,1950.44,1955.52
"Illinois","Total Land Converted to Forest Land",15.15,15.15,15.15,15.15,15.36,15.36,15.36,15.36,15.36,15.36,18.7,18.7,18.7,18.7,18.7,15.84,15.84,15.84,15.84,15.84,15.84,16.11,16.11,16.11,16.11,16.11,16.11,16.17,16.17,16.17,16.17,16.17,16.17
"Illinois","CF",12.06,12.06,12.06,12.06,12.23,12.23,12.23,12.23,12.23,12.23,14.9,14.9,14.9,14.9,14.9,12.62,12.62,12.62,12.62,12.62,12.62,12.83,12.83,12.83,12.83,12.83,12.83,12.86,12.86,12.86,12.86,12.86,12.86
"Illinois","GF",0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.24,0.24,0.24,0.24,0.24,0.24
"Illinois","OF",0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.69,0.69,0.69,0.69,0.69,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.32,0.32,0.32,0.32,0.32,0.32
"Illinois","SF",2.23,2.23,2.23,2.23,2.26,2.26,2.26,2.26,2.26,2.26,2.75,2.75,2.75,2.75,2.75,2.33,2.33,2.33,2.33,2.33,2.33,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37
"Illinois","WF",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.31,0.31,0.31,0.31,0.31,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.37,0.37,0.37,0.37,0.37,0.37
"Illinois","Total Forest Land Converted to Land",11.37,11.37,11.37,11.37,11.25,11.25,11.25,11.25,11.25,11.25,13.3,13.3,13.3,13.3,13.3,10.86,10.86,10.86,10.86,10.86,10.86,10.91,10.91,10.91,10.91,10.91,10.91,11.09,11.09,11.09,11.09,11.09,11.09
"Illinois","FC",6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,7.77,7.77,7.77,7.77,7.77,6.47,6.47,6.47,6.47,6.47,6.47,6.48,6.48,6.48,6.48,6.48,6.48,6.59,6.59,6.59,6.59,6.59,6.59
"Illinois","FG",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
"Illinois","FO",1.34,1.34,1.34,1.34,1.26,1.26,1.26,1.26,1.26,1.26,1.38,1.38,1.38,1.38,1.38,1.02,1.02,1.02,1.02,1.02,1.02,0.75,0.75,0.75,0.75,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.77
"Illinois","FS",2.83,2.83,2.83,2.83,2.82,2.82,2.82,2.82,2.82,2.82,3.36,3.36,3.36,3.36,3.36,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.83,2.83,2.83,2.83,2.83,2.83
"Illinois","FW",0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.72,0.72,0.72,0.72,0.72,0.52,0.52,0.52,0.52,0.52,0.52,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82
"Indiana","Total Forest Land",1901.41,1901.95,1902.48,1903.02,1903.55,1904.08,1904.61,1905.14,1905.66,1906.19,1906.74,1907.29,1907.84,1908.38,1908.93,1909.48,1910.17,1910.85,1911.54,1912.23,1912.91,1913.6,1915.47,1917.34,1919.22,1921.09,1922.96,1924.84,1926.42,1928,1929.59,1931.17,1932.75
"Indiana","FF",1892.5,1893.04,1893.58,1894.11,1894.62,1895.15,1895.68,1896.21,1896.73,1897.26,1897.79,1898.34,1898.88,1899.43,1899.98,1900.53,1901.18,1901.87,1902.55,1903.24,1903.93,1904.61,1906.43,1908.3,1910.18,1912.05,1913.92,1915.8,1917.62,1919.21,1920.79,1922.38,1923.96
"Indiana","Total Land Converted to Forest Land",8.91,8.91,8.91,8.91,8.93,8.93,8.93,8.93,8.93,8.93,8.95,8.95,8.95,8.95,8.95,8.95,8.98,8.98,8.98,8.98,8.98,8.98,9.04,9.04,9.04,9.04,9.04,9.04,8.8,8.8,8.8,8.8,8.8
"Indiana","CF",4.93,4.93,4.93,4.93,4.94,4.94,4.94,4.94,4.94,4.94,4.96,4.96,4.96,4.96,4.96,4.96,4.98,4.98,4.98,4.98,4.98,4.98,5.01,5.01,5.01,5.01,5.01,5.01,5.06,5.06,5.06,5.06,5.06
"Indiana","GF",0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0
"Indiana","OF",0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.43,0.43,0.43,0.43,0.43
"Indiana","SF",3.41,3.41,3.41,3.41,3.42,3.42,3.42,3.42,3.42,3.42,3.43,3.43,3.43,3.43,3.43,3.43,3.44,3.44,3.44,3.44,3.44,3.44,3.46,3.46,3.46,3.46,3.46,3.46,3.28,3.28,3.28,3.28,3.28
"Indiana","WF",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
"Indiana","Total Forest Land Converted to Land",8.37,8.37,8.37,8.37,8.4,8.4,8.4,8.4,8.4,8.4,8.41,8.41,8.41,8.41,8.41,8.41,8.3,8.3,8.3,8.3,8.3,8.3,7.17,7.17,7.17,7.17,7.17,7.17,7.21,7.21,7.21,7.21,7.21
"Indiana","FC",3.71,3.71,3.71,3.71,3.74,3.74,3.74,3.74,3.74,3.74,3.77,3.77,3.77,3.77,3.77,3.77,3.8,3.8,3.8,3.8,3.8,3.8,3.84,3.84,3.84,3.84,3.84,3.84,3.86,3.86,3.86,3.86,3.86
"Indiana","FG",1.63,1.63,1.63,1.63,1.66,1.66,1.66,1.66,1.66,1.66,1.67,1.67,1.67,1.67,1.67,1.67,1.55,1.55,1.55,1.55,1.55,1.55,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
"Indiana","FO",0.34,0.34,0.34,0.34,0.38,0.38,0.38,0.38,0.38,0.38,0.43,0.43,0.43,0.43,0.43,0.43,0.49,0.49,0.49,0.49,0.49,0.49,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58
"Indiana","FS",2.56,2.56,2.56,2.56,2.47,2.47,2.47,2.47,2.47,2.47,2.37,2.37,2.37,2.37,2.37,2.37,2.25,2.25,2.25,2.25,2.25,2.25,2.14,2.14,2.14,2.14,2.14,2.14,2.15,2.15,2.15,2.15,2.15
"Indiana","FW",0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Iowa","Total Forest Land",1085.96,1087.86,1089.76,1091.67,1093.76,1095.86,1097.96,1100.05,1102.15,1104.24,1106.55,1108.85,1111.16,1113.46,1115.76,1118.07,1120.14,1122.22,1124.29,1126.37,1128.44,1130.51,1132.59,1135.03,1137.47,1139.91,1142.35,1144.79,1147.23,1149.15,1151.07,1152.99,1154.91
"Iowa","FF",1074.28,1076.19,1078.09,1079.99,1081.95,1084.05,1086.14,1088.24,1090.34,1092.43,1094.59,1096.89,1099.2,1101.5,1103.8,1106.11,1109.76,1111.83,1113.91,1115.98,1118.06,1120.13,1122.2,1122.76,1125.2,1127.64,1130.08,1132.52,1134.96,1137.27,1139.2,1141.12,1143.04
"Iowa","Total Land Converted to Forest Land",11.68,11.68,11.68,11.68,11.81,11.81,11.81,11.81,11.81,11.81,11.96,11.96,11.96,11.96,11.96,11.96,10.38,10.38,10.38,10.38,10.38,10.38,10.38,12.27,12.27,12.27,12.27,12.27,12.27,11.88,11.88,11.88,11.88
"Iowa","CF",8.81,8.81,8.81,8.81,8.91,8.91,8.91,8.91,8.91,8.91,9.03,9.03,9.03,9.03,9.03,9.03,7.84,7.84,7.84,7.84,7.84,7.84,7.84,9.26,9.26,9.26,9.26,9.26,9.26,9.2,9.2,9.2,9.2
"Iowa","GF",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0
"Iowa","OF",0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.66,0.66,0.66,0.66,0.66,0.66,0.39,0.39,0.39,0.39
"Iowa","SF",2.05,2.05,2.05,2.05,2.07,2.07,2.07,2.07,2.07,2.07,2.1,2.1,2.1,2.1,2.1,2.1,1.82,1.82,1.82,1.82,1.82,1.82,1.82,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.15,2.15,2.15
"Iowa","WF",0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,0.15,0.15
"Iowa","Total Forest Land Converted to Land",9.77,9.77,9.77,9.77,9.71,9.71,9.71,9.71,9.71,9.71,9.66,9.66,9.66,9.66,9.66,9.66,8.31,8.31,8.31,8.31,8.31,8.31,8.31,9.83,9.83,9.83,9.83,9.83,9.83,9.96,9.96,9.96,9.96
"Iowa","FC",6.42,6.42,6.42,6.42,6.41,6.41,6.41,6.41,6.41,6.41,6.4,6.4,6.4,6.4,6.4,6.4,5.47,5.47,5.47,5.47,5.47,5.47,5.47,6.38,6.38,6.38,6.38,6.38,6.38,6.46,6.46,6.46,6.46
"Iowa","FG",0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79
"Iowa","FO",1.93,1.93,1.93,1.93,1.88,1.88,1.88,1.88,1.88,1.88,1.82,1.82,1.82,1.82,1.82,1.82,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.53,1.53,1.53,1.53,1.53,1.53,1.55,1.55,1.55,1.55
"Iowa","FS",1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.04,1.04,1.04,1.04,1.04,1.04,1.06,1.06,1.06,1.06
"Iowa","FW",0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
"Kansas","Total Forest Land",1104.18,1099.76,1095.34,1090.92,1086.02,1081.12,1076.22,1071.32,1066.42,1061.52,1056.19,1050.85,1045.52,1040.19,1034.85,1029.52,1023.75,1017.99,1012.23,1006.46,1000.7,994.93,989.64,984.35,979.06,973.77,968.47,963.18,958.87,954.55,950.24,945.92,941.6
"Kansas","FF",1085.69,1081.27,1076.85,1072.43,1068.02,1063.12,1058.22,1053.32,1048.42,1043.52,1038.73,1033.39,1028.06,1022.73,1017.39,1012.06,1006.87,1001.11,995.34,989.58,983.81,978.05,973.29,968,962.71,957.41,952.12,946.83,942.28,937.96,933.65,929.33,925.02
"Kansas","Total Land Converted to Forest Land",18.49,18.49,18.49,18.49,18,18,18,18,18,18,17.46,17.46,17.46,17.46,17.46,17.46,16.88,16.88,16.88,16.88,16.88,16.88,16.35,16.35,16.35,16.35,16.35,16.35,16.59,16.59,16.59,16.59,16.59
"Kansas","CF",15.45,15.45,15.45,15.45,15.03,15.03,15.03,15.03,15.03,15.03,14.57,14.57,14.57,14.57,14.57,14.57,14.07,14.07,14.07,14.07,14.07,14.07,13.61,13.61,13.61,13.61,13.61,13.61,14.76,14.76,14.76,14.76,14.76
"Kansas","GF",2.03,2.03,2.03,2.03,1.98,1.98,1.98,1.98,1.98,1.98,1.93,1.93,1.93,1.93,1.93,1.93,1.88,1.88,1.88,1.88,1.88,1.88,1.83,1.83,1.83,1.83,1.83,1.83,0.96,0.96,0.96,0.96,0.96
"Kansas","OF",0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.05,0.05,0.05,0.05,0.05
"Kansas","SF",0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.86,0.86,0.84,0.84,0.84,0.84,0.84,0.84,0.82,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.81
"Kansas","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
