"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"New York","CO",,,,,0.01,,,,,,,,0.07,,,,0.68,,2.24,,0.11,,0.62,0,,4.4,2.62,,0.41,,0.82,0.02
"New York","NOx",,,,,0,,,,,,,,0,,,,0.02,,0.06,,0,,0.02,0,,0.11,0.06,,0.01,,0.02,0
"North Carolina","CH4",0.05,0.03,0.02,0.07,0.09,0.05,0.01,0,0.1,0.35,1.16,0.44,0.22,0.25,0.13,0.14,0.3,0.72,0.45,0.34,0.41,0.65,0.29,0.39,0.25,0.46,3.88,0.7,0.19,0.32,0.3,0.44
"North Carolina","N2O",0.01,0,0,0.01,0.01,0,0,0,0.01,0.03,0.1,0.04,0.02,0.02,0.01,0.01,0.03,0.07,0.04,0.03,0.04,0.06,0.03,0.04,0.02,0.04,0.36,0.06,0.02,0.03,0.03,0.04
"North Carolina","CO",1.58,0.89,0.56,2.18,2.79,1.5,0.24,0.13,3.16,10.71,32.9,12.87,6.12,7,3.72,3.86,8.33,20.78,12.76,9.91,11.97,18.85,8.4,11.55,7.02,13.32,114.28,19.66,5.41,9.09,8.08,12.56
"North Carolina","NOx",0.04,0.02,0.02,0.06,0.07,0.04,0.01,0,0.08,0.28,0.84,0.33,0.16,0.19,0.1,0.1,0.22,0.53,0.34,0.26,0.31,0.48,0.22,0.3,0.18,0.35,2.91,0.51,0.14,0.24,0.21,0.33
"North Dakota","CH4",0,,0,0.02,0.02,0,0,0,0,0.18,0.04,0.01,0.08,0.03,0.07,0.02,0.06,0.01,0.01,0.08,0.04,0.01,0.07,0.01,0.01,0.03,0.01,0.04,0.04,0.01,0.09,0.09
"North Dakota","N2O",0,,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0.01,0,0.01,0.01
"North Dakota","CO",0.01,,0.13,0.44,0.55,0.03,0.01,0.08,0.02,4.31,0.84,0.28,1.84,0.66,1.48,0.51,1.45,0.26,0.14,2.26,1.13,0.37,1.56,0.19,0.28,0.68,0.25,1.08,1.08,0.2,2.45,2.01
"North Dakota","NOx",0,,0,0.02,0.03,0,0,0,0,0.2,0.04,0.01,0.08,0.03,0.07,0.02,0.06,0.01,0.01,0.07,0.03,0.01,0.07,0.01,0.01,0.03,0.01,0.05,0.05,0.01,0.07,0.09
"Ohio","CH4",,,,,,,,,,,,0,0,0.03,0.01,0.25,0,0.01,0.01,0.11,0,,0.02,0.01,0.03,0,0.02,,,0.03,0.02,0.01
"Ohio","N2O",,,,,,,,,,,,0,0,0,0,0.02,0,0,0,0.01,0,,0,0,0,0,0,,,0,0,0
"Ohio","CO",,,,,,,,,,,,0.09,0.03,1.02,0.38,7.47,0.02,0.41,0.45,3.23,0.1,,0.61,0.23,0.81,0.14,0.74,,,1,0.65,0.32
"Ohio","NOx",,,,,,,,,,,,0,0,0.03,0.01,0.19,0,0.01,0.01,0.08,0,,0.02,0.01,0.02,0,0.02,,,0.03,0.02,0.01
"Oklahoma","CH4",0,0.8,0.87,0.35,0.9,1.28,1.35,0.17,0.1,0.2,0.57,0.24,0.72,2.3,2.88,3.41,2.91,2.87,1.5,6.33,0.98,7.75,1.71,1.13,2.41,1.54,3.83,3.86,4.03,1.1,1.09,4.53
"Oklahoma","N2O",0,0.08,0.08,0.02,0.08,0.12,0.13,0.01,0.01,0.01,0.05,0.02,0.07,0.22,0.27,0.33,0.27,0.28,0.15,0.63,0.09,0.73,0.16,0.11,0.24,0.15,0.37,0.37,0.41,0.11,0.1,0.44
"Oklahoma","CO",0.11,23.44,25.4,7.16,25.56,38.27,39.72,3.81,2.31,4.25,15.74,7.04,21.27,68.15,84.82,100.84,84.79,84.34,44.09,187.94,27.89,226.76,49.79,33.31,72.82,45.64,113.39,113.23,115.14,32.35,31.98,135.2
"Oklahoma","NOx",0,0.61,0.64,0.15,0.65,0.98,1.08,0.09,0.06,0.09,0.4,0.18,0.57,1.79,2.21,2.67,2.21,2.24,1.18,5.14,0.72,5.84,1.32,0.87,1.95,1.21,2.96,3.05,3.36,0.85,0.83,3.53
"Oregon","CH4",3.57,2.12,3.43,0,6.23,0.17,18.29,0.15,0.2,1.68,3.52,4.49,115.85,22.46,5.69,5.55,10.84,17.39,9.64,11.77,3.68,6.85,14.47,16.6,14.46,34.12,5.28,91.62,53.31,6.24,219.12,76.53
"Oregon","N2O",0.25,0.11,0.22,0,0.38,0.01,1.1,0.01,0.02,0.13,0.23,0.29,6.64,1.21,0.34,0.33,0.64,1.21,0.53,0.64,0.22,0.39,0.94,0.95,0.92,2.06,0.31,5.02,3.04,0.36,11.46,4.54
"Oregon","CO",74.14,43.22,70.4,0,129.28,3.48,378.38,3.49,4.27,35.59,73.36,93.9,2397.05,458.17,117.58,115.52,223.42,361.22,198.05,241.51,76.18,139.35,302.31,343.68,299.82,708.7,108.84,1886.95,1103.9,128.75,4455.24,1563.61
"Oregon","NOx",2.06,0.55,1.75,0,2.42,0.12,6.99,0.12,0.15,1.11,1.81,2.08,36.96,6.56,2.01,1.89,3.82,10.08,2.83,3.34,1.37,2.47,6.46,5.26,6.33,12.86,1.88,25.56,16.44,2.14,57.6,31.25
"Pennsylvania","CH4",0.03,,,,,,,,,,,,,,0.09,0.03,0.1,,0.1,0.08,,,0.03,,0.05,0.06,0.27,,0.03,,0.31,
"Pennsylvania","N2O",0,,,,,,,,,,,,,,0.01,0,0.01,,0.01,0.01,,,0,,0,0.01,0.02,,0,,0.03,
"Pennsylvania","CO",1,,,,,,,,,,,,,,2.74,0.88,3,,2.69,2.31,,,0.85,,1.36,1.77,7.6,,0.89,,9.07,
"Pennsylvania","NOx",0.02,,,,,,,,,,,,,,0.07,0.02,0.07,,0.06,0.06,,,0.02,,0.03,0.06,0.19,,0.03,,0.24,
"South Carolina","CH4",0.07,0.17,0.1,0.1,0.28,0.07,0.1,0.21,0.09,0.16,0.06,0.25,0.44,0.33,1.3,0.81,0.6,0.72,1.67,1.99,1.75,0.6,0.27,1.07,0.99,0.51,1.22,1.04,0.78,0.48,0.49,0.9
"South Carolina","N2O",0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.03,0.12,0.08,0.05,0.07,0.15,0.18,0.16,0.05,0.02,0.1,0.09,0.05,0.11,0.09,0.07,0.04,0.04,0.08
"South Carolina","CO",1.83,4.56,2.76,2.68,8.09,1.9,2.72,6.02,2.44,4.4,1.67,7.18,12.53,9.17,37.07,23.39,17.12,20.13,46.88,55.62,47.48,17.12,7.66,29.61,27.54,13.74,34.09,28.53,21.14,12.65,13.01,25.26
"South Carolina","NOx",0.05,0.12,0.07,0.07,0.21,0.05,0.07,0.16,0.07,0.11,0.04,0.19,0.33,0.24,0.96,0.61,0.44,0.54,1.29,1.54,1.35,0.44,0.2,0.83,0.77,0.39,0.87,0.73,0.55,0.33,0.34,0.67
"South Dakota","CH4",0.36,0.19,0.05,0,0.02,0.02,0.03,0.03,0.01,0.1,4.38,0.43,1.38,0.69,0.02,0.22,0.26,0.71,0.09,0.05,0.07,0.24,1.25,0.01,0.16,0.25,0.27,0.62,0.02,0.01,0.05,0.03
"South Dakota","N2O",0.03,0.02,0,0,0,0,0,0,0,0.01,0.42,0.04,0.13,0.06,0,0.02,0.03,0.06,0.01,0,0.01,0.02,0.11,0,0.02,0.03,0.03,0.06,0,0,0,0
"South Dakota","CO",7.17,3.87,0.93,0.01,0.42,0.36,0.69,0.58,0.19,2.15,91.67,8.62,27.44,13.79,0.32,4.29,5.43,14.26,1.73,0.9,1.4,4.84,25.13,0.17,3.38,4.94,5.51,12.33,0.4,0.16,0.96,0.79
"South Dakota","NOx",0.43,0.23,0.06,0,0.02,0.02,0.05,0.04,0.01,0.12,4.96,0.51,1.63,0.8,0.02,0.26,0.3,0.82,0.11,0.06,0.09,0.28,1.45,0.01,0.2,0.32,0.32,0.78,0.02,0.01,0.06,0.04
"Tennessee","CH4",,0.11,,,0.1,,0.03,0.03,0.09,0.24,2.87,2.17,0.08,0.44,0.21,0.78,0.38,0.9,0.33,0.46,0.66,0.11,0.21,0.49,0.51,0.28,2.34,0.11,0.22,0.27,0.1,0.24
"Tennessee","N2O",,0.01,,,0.01,,0,0,0.01,0.02,0.27,0.21,0.01,0.04,0.02,0.08,0.04,0.09,0.03,0.05,0.07,0.01,0.02,0.05,0.05,0.03,0.22,0.01,0.02,0.03,0.01,0.02
"Tennessee","CO",,3.46,,,3.15,,0.9,0.91,2.8,7.15,84.84,64.79,2.21,12.87,6.01,23.02,11.31,26.94,9.79,14.05,19.89,3.22,6.28,14.98,15.29,8.42,68.14,3.27,6.45,8.16,3.03,7.33
"Tennessee","NOx",,0.09,,,0.08,,0.02,0.02,0.08,0.18,2.18,1.7,0.06,0.36,0.16,0.61,0.3,0.71,0.26,0.37,0.52,0.09,0.16,0.39,0.4,0.23,1.77,0.09,0.17,0.21,0.08,0.2
"Texas","CH4",0.01,0.04,,0.01,0.43,0.05,0.56,0,0.05,0.06,0.42,0.09,0.14,0.27,0.26,0.39,0.78,0.17,0.53,0.83,1.39,5.93,0.17,0.9,1.13,0.5,1.05,1.62,1.01,0.88,0.62,0.57
"Texas","N2O",0,0,,0,0.04,0.01,0.05,0,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.04,0.07,0.02,0.05,0.08,0.11,0.54,0.02,0.07,0.09,0.04,0.08,0.14,0.09,0.07,0.05,0.05
"Texas","CO",0.25,0.93,,0.21,12.31,1.36,14.69,0.04,1.32,1.67,11.16,2.26,3.69,7.25,6.94,10.09,20.17,4.44,13.32,22.07,34.69,158.42,4.63,22.47,28.36,12.88,25.53,39.74,25.65,22.28,14.59,14.54
"Texas","NOx",0.01,0.04,,0.01,0.34,0.05,0.44,0,0.05,0.05,0.32,0.07,0.11,0.21,0.22,0.34,0.64,0.16,0.47,0.66,0.93,4.63,0.13,0.63,0.77,0.34,0.74,1.17,0.73,0.59,0.4,0.46
"Utah","CH4",0.14,0,0.05,0.12,0.42,0.05,0.44,0.05,0,0.09,0.44,0.9,7.62,0.88,0.83,0.91,0.47,1.93,0.38,1.46,0.82,0.06,3.36,0.55,0.15,0.08,1.8,4.48,11.25,2.07,10.63,3.01
"Utah","N2O",0.01,0,0.01,0.01,0.03,0,0.04,0,0,0.01,0.03,0.06,0.54,0.07,0.06,0.05,0.03,0.14,0.03,0.1,0.06,0,0.26,0.03,0.01,0.01,0.12,0.32,0.78,0.16,0.59,0.25
"Utah","CO",3,0.02,1.09,2.5,9.17,1.17,9.74,1.08,0,1.96,9.29,19.13,161.82,18.87,17.62,18.85,9.89,41.08,8.09,31.15,17.76,1.18,72.39,11.51,3.18,1.68,37.7,94.53,239.05,44.71,217.12,65.93
"Utah","NOx",0.08,0,0.05,0.07,0.27,0.04,0.32,0.02,0,0.08,0.19,0.45,3.73,0.54,0.39,0.33,0.25,1,0.19,0.67,0.44,0.03,1.96,0.21,0.06,0.05,0.78,2.24,5.26,1.12,3.19,1.86
"Vermont","CH4",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"Vermont","N2O",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"Vermont","CO",,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
"Vermont","NOx",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"Virginia","CH4",,0.08,,,0.02,0.34,,,0.25,0.56,1.68,0.32,0.53,0.51,0.61,0.36,0.65,0.22,1.08,0.1,0.44,0.48,1.45,0.3,0.86,0.42,0.93,0.33,0.38,0.44,0.21,0.58
"Virginia","N2O",,0.01,,,0,0.03,,,0.02,0.05,0.16,0.03,0.05,0.05,0.06,0.03,0.06,0.02,0.1,0.01,0.04,0.04,0.14,0.03,0.08,0.04,0.09,0.03,0.04,0.04,0.02,0.05
"Virginia","CO",,1.87,,,0.64,9.26,,,7.31,15.97,48.14,8.68,14.17,14.01,16.92,9.88,18.09,6.45,30.72,2.76,12.43,13.36,41.35,8.69,25.04,11.64,26.99,8.88,10.66,12.31,5.73,15.91
"Virginia","NOx",,0.06,,,0.02,0.24,,,0.16,0.4,1.1,0.25,0.36,0.37,0.47,0.27,0.48,0.17,0.8,0.07,0.33,0.36,1.04,0.22,0.63,0.3,0.69,0.26,0.28,0.34,0.15,0.42
"Washington","CH4",0.32,0.62,0.17,0,11.59,0.01,1.02,0.06,1.22,0.16,3,7.63,4.22,12.71,5.2,4.57,34.45,2.83,3.09,1.49,1.34,0.85,11.11,3.46,11.19,70.93,2.43,32.19,15.93,3.6,11.32,42.67
"Washington","N2O",0.02,0.04,0.01,0,0.68,0,0.06,0,0.07,0.01,0.19,0.45,0.24,0.68,0.31,0.27,1.86,0.17,0.18,0.09,0.08,0.05,0.63,0.22,0.7,4.11,0.14,1.63,0.87,0.23,0.64,2.51
"Washington","CO",6.7,13.11,3.57,0.07,241.94,0.18,21.16,1.31,25.72,3.22,63.28,159.5,87.64,260.43,109.3,96.08,706.18,59.78,64.48,30.55,27.9,17.65,229.64,72.07,234.01,1477.15,50.04,650.54,327.03,75.58,233.14,894.1
"Washington","NOx",0.1,0.23,0.07,0,3.78,0,0.3,0.02,0.43,0.05,1.1,2.48,1.31,3.42,1.67,1.53,9.43,0.95,0.98,0.53,0.41,0.28,3.44,1.43,4.53,22.38,0.77,7.95,4.45,1.63,3.72,13.36
"West Virginia","CH4",,23.25,,0.04,1.86,0.89,,,0.18,4.8,0.75,3.42,0.01,0.02,0.14,0.27,0.06,0.11,0.02,0.13,0.81,,0.3,0.23,0.04,0.6,0.24,0.07,0.13,0.06,0.03,0.02
"West Virginia","N2O",,2.27,,0,0.18,0.09,,,0.02,0.47,0.07,0.33,0,0,0.01,0.03,0.01,0.01,0,0.01,0.08,,0.03,0.02,0,0.06,0.02,0.01,0.01,0.01,0,0
"West Virginia","CO",,698.3,,1.06,55.9,26.65,,,5.29,144.07,22.36,102.22,0.39,0.61,4.22,8.22,1.7,3.33,0.71,3.76,24.35,,8.96,6.9,1.1,18.09,7.16,2.12,3.52,1.81,0.98,0.49
"West Virginia","NOx",,18.06,,0.03,1.46,0.7,,,0.14,3.72,0.57,2.64,0.01,0.02,0.1,0.21,0.04,0.09,0.02,0.1,0.6,,0.22,0.17,0.03,0.42,0.19,0.05,0.09,0.05,0.03,0.01
"Wisconsin","CH4",,,,,0.02,,,0.04,0.04,,,0.01,0,1.15,0.07,0.06,0.06,0.08,0.01,0.02,0.04,0.07,0.22,0.2,0.05,0.1,0.07,0.03,0.34,0.12,0,0.14
"Wisconsin","N2O",,,,,0,,,0,0,,,0,0,0.11,0.01,0.01,0.01,0.01,0,0,0,0.01,0.02,0.02,0,0.01,0.01,0,0.03,0.01,0,0.01
"Wisconsin","CO",,,,,0.65,,,1.13,1.08,,,0.33,0.04,34.67,2.05,1.91,1.86,2.38,0.19,0.66,1.1,2.08,6.02,5.96,1.4,2.89,2.19,0.94,9.65,3.45,0.01,4.17
"Wisconsin","NOx",,,,,0.02,,,0.03,0.03,,,0.01,0,0.82,0.05,0.04,0.05,0.05,0,0.02,0.03,0.05,0.12,0.14,0.03,0.07,0.05,0.02,0.2,0.07,0,0.09
"Wyoming","CH4",,0.26,0.01,0,1.1,0,1.38,0.13,0.06,0.28,7.6,2.09,4.82,7.29,0.22,1.15,6.8,5.89,8.58,1.41,0.56,4.87,15.23,4.39,0.3,0.32,12.04,1.19,10.17,1.78,11.97,8.43
"Wyoming","N2O",,0.01,0,0,0.06,0,0.09,0.01,0,0.02,0.44,0.12,0.29,0.38,0.02,0.07,0.41,0.31,0.47,0.08,0.03,0.26,0.93,0.22,0.02,0.02,0.67,0.07,0.6,0.09,0.75,0.43
"Wyoming","CO",,5.34,0.23,0.03,22.5,0,28.86,2.75,1.36,5.91,156.43,42.31,98.87,146.53,4.39,23.14,136.64,119.15,176.39,29.46,11.69,98.06,308.93,88.85,6.01,6.62,246.65,24.35,209.62,35.96,253.13,170.1
"Wyoming","NOx",,0.08,0,0,0.34,0,0.59,0.12,0.02,0.13,2.59,0.83,1.98,2,0.19,0.45,3.07,1.67,2.36,0.47,0.2,1.43,6.81,1.11,0.08,0.12,3.66,0.45,3.61,0.48,4.25,2.22
