"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Colorado","NOx",0.04,,,0,0.26,0.03,0.28,0,0,0,0.85,0.3,11.92,0.46,0.15,0.42,0.76,0.09,0.14,0.38,0.3,0.59,3.72,5.74,0.41,0.03,2.46,0.68,8.01,0.72,13.08,2.67
"Delaware","CH4",,,,,,,,,,,,,0,,0.01,,,,,,,,,,,,,,,,,
"Delaware","N2O",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"Delaware","CO",,,,,,,,,,,,,0.07,,0.24,,,,,,,,,,,,,,,,,
"Delaware","NOx",,,,,,,,,,,,,0,,0.01,,,,,,,,,,,,,,,,,
"Florida","CH4",1.36,1.5,2.26,1.09,1.7,0.87,1.6,1.15,6.86,6.01,2.89,3.51,1.53,2.19,6.03,4.53,6.06,10.54,9.93,9.98,7.24,10.11,6.22,4.23,4.39,3.78,2.97,6.23,6.83,4.21,4.41,6.11
"Florida","N2O",0.11,0.12,0.18,0.09,0.14,0.07,0.13,0.1,0.57,0.51,0.24,0.27,0.12,0.17,0.5,0.33,0.5,0.89,0.78,0.79,0.62,0.82,0.51,0.35,0.37,0.32,0.24,0.46,0.54,0.33,0.35,0.5
"Florida","CO",36.06,39.27,57.71,29.93,45.66,22.82,41.06,30.52,181.92,164.74,76.89,90.91,39.18,56.21,160.26,113.31,159.65,285.08,257.84,260.07,194.3,268.11,166.75,110.18,117.15,100.68,77.13,155.2,177.66,108.67,113.15,159.4
"Florida","NOx",0.92,1.01,1.48,0.77,1.18,0.59,1.06,0.78,4.68,4.11,1.99,2.22,0.95,1.42,4.06,2.69,4.09,7.21,6.4,6.46,5.03,6.66,4.15,2.83,3.02,2.59,1.96,3.7,4.38,2.72,2.84,4.05
"Georgia","CH4",1.52,0.07,0.17,0.58,0.2,0.25,0.28,0.35,0.85,1.46,0.51,0.95,6.5,1.06,2.16,1.33,1.79,24.69,1.99,1.04,1.67,15.49,0.71,2.17,2.24,1.71,4.01,7.14,1.44,1.5,0.7,2.64
"Georgia","N2O",0.14,0.01,0.02,0.05,0.02,0.02,0.03,0.03,0.08,0.13,0.05,0.09,0.56,0.1,0.2,0.12,0.16,2.11,0.18,0.1,0.15,1.39,0.06,0.19,0.21,0.15,0.36,0.63,0.13,0.13,0.06,0.24
"Georgia","CO",43.74,2.06,4.92,16.88,5.87,7.1,8.21,10.22,23.83,41.78,14.4,27.14,183.54,29.06,61.74,37.41,49.73,693.12,54.4,29.32,45.63,445.37,19.8,60.21,63.15,46.22,113.19,203.42,39.29,41.05,19.95,73.59
"Georgia","NOx",1.12,0.05,0.12,0.43,0.15,0.18,0.21,0.26,0.64,1.08,0.41,0.69,4.55,0.83,1.64,1.02,1.36,16.96,1.52,0.82,1.28,11.17,0.53,1.6,1.7,1.29,2.87,5.05,1.02,1.08,0.69,1.92
