"State","Gas","2021 Emission Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Oklahoma","CO2",2.65,0.86,4.41,-67.49,66.56
"Oklahoma","CH4",0.13,0.01,0.24,-90.19,88.81
"Oklahoma","N2O",0.12,0.04,0.2,-67.57,67.58
"Oregon","CO2",27.34,7.98,46.75,-70.79,71.02
"Oregon","CH4",2.14,2.13,2.16,-0.7,0.69
"Oregon","N2O",1.2,0.36,2.06,-70.23,71.11
"South Carolina","CO2",0.49,0.21,0.79,-57.96,59.29
"South Carolina","CH4",0.03,0.02,0.03,-13.15,13.09
"South Carolina","N2O",0.02,0.01,0.03,-59.69,58.34
"South Dakota","CO2",0.02,0.02,0.02,-8.82,8.7
"South Dakota","CH4",0,0,0,-48,47.48
"South Dakota","N2O",0,0,0,-8.83,8.79
"Tennessee","CO2",0.15,-0.07,0.37,-147.04,153.07
"Tennessee","CH4",0.01,0,0.02,-133.67,128.55
"Tennessee","N2O",0.01,0,0.02,-148.85,144.97
"Texas","CO2",0.31,0.11,0.52,-65.64,68.59
"Texas","CH4",0.02,0,0.04,-127.18,126.03
"Texas","N2O",0.01,0,0.02,-66,67.2
"Utah","CO2",1.48,0.09,2.91,-93.73,96.19
"Utah","CH4",0.08,0.05,0.12,-45.4,44.19
"Utah","N2O",0.07,0.01,0.13,-91.5,93.87
"Virginia","CO2",0.32,0.1,0.53,-67.07,67.73
"Virginia","CH4",0.02,0,0.03,-78.72,79.73
"Virginia","N2O",0.01,0,0.02,-68.53,66.59
"Washington","CO2",15.1,-20.04,49.53,-232.68,227.97
"Washington","CH4",1.19,-0.96,3.3,-180.46,176.61
"Washington","N2O",0.66,-0.84,2.15,-227.11,223.31
"West Virginia","CO2",0.01,0,0.02,-69.79,72.46
"West Virginia","CH4",0,0,0,-51.57,51.14
"West Virginia","N2O",0,0,0,-71.52,71.12
"Wisconsin","CO2",0.08,0.03,0.13,-58.42,61.51
"Wisconsin","CH4",0,0,0,-7.34,7.27
"Wisconsin","N2O",0,0,0.01,-59.7,58.22
"Wyoming","CO2",2.61,-0.62,5.84,-123.66,123.66
"Wyoming","CH4",0.24,-0.29,0.76,-223.39,223.71
"Wyoming","N2O",0.11,-0.03,0.26,-124.94,124.7
